participant,gender,attractiveness,morality
p01,female,HIGH_ATTRACTIVENESS,2
p01,female,LOW_ATTRACTIVENESS,1.9
p01,male,HIGH_ATTRACTIVENESS,2.111111111111111
p01,male,LOW_ATTRACTIVENESS,1.914085914085914
p02,female,HIGH_ATTRACTIVENESS,1.7428571428571429
p02,female,LOW_ATTRACTIVENESS,1.4285714285714286
p02,male,HIGH_ATTRACTIVENESS,2.3492063492063493
p02,male,LOW_ATTRACTIVENESS,1.907092907092907
p03,female,HIGH_ATTRACTIVENESS,1.8857142857142857
p03,female,LOW_ATTRACTIVENESS,1.4142857142857141
p03,male,HIGH_ATTRACTIVENESS,2.4761904761904763
p03,male,LOW_ATTRACTIVENESS,1.987012987012987
p04,female,HIGH_ATTRACTIVENESS,2.942857142857143
p04,female,LOW_ATTRACTIVENESS,1.9428571428571428
p04,male,HIGH_ATTRACTIVENESS,2.253968253968254
p04,male,LOW_ATTRACTIVENESS,2.5904095904095903
p05,female,HIGH_ATTRACTIVENESS,2.914285714285714
p05,female,LOW_ATTRACTIVENESS,2.057142857142857
p05,male,HIGH_ATTRACTIVENESS,3.015873015873016
p05,male,LOW_ATTRACTIVENESS,2.6613386613386614
p06,female,HIGH_ATTRACTIVENESS,2.357142857142857
p06,female,LOW_ATTRACTIVENESS,2.428571428571429
p06,male,HIGH_ATTRACTIVENESS,2.492063492063492
p06,male,LOW_ATTRACTIVENESS,2.705294705294705
p07,female,HIGH_ATTRACTIVENESS,1.4285714285714286
p07,female,LOW_ATTRACTIVENESS,1.5714285714285714
p07,male,HIGH_ATTRACTIVENESS,2.126984126984127
p07,male,LOW_ATTRACTIVENESS,1.5284715284715285
p08,female,HIGH_ATTRACTIVENESS,1.7285714285714286
p08,female,LOW_ATTRACTIVENESS,1.3714285714285714
p08,male,HIGH_ATTRACTIVENESS,2.0476190476190474
p08,male,LOW_ATTRACTIVENESS,1.5034965034965035
p09,female,HIGH_ATTRACTIVENESS,2.7
p09,female,LOW_ATTRACTIVENESS,2.757142857142857
p09,male,HIGH_ATTRACTIVENESS,2.9047619047619047
p09,male,LOW_ATTRACTIVENESS,2.694305694305694
p10,female,HIGH_ATTRACTIVENESS,2.242857142857143
p10,female,LOW_ATTRACTIVENESS,2.4571428571428573
p10,male,HIGH_ATTRACTIVENESS,2.555555555555556
p10,male,LOW_ATTRACTIVENESS,2.4305694305694305
p11,female,HIGH_ATTRACTIVENESS,2.757142857142857
p11,female,LOW_ATTRACTIVENESS,2.8
p11,male,HIGH_ATTRACTIVENESS,3.873015873015873
p11,male,LOW_ATTRACTIVENESS,4.477522477522477
p12,female,HIGH_ATTRACTIVENESS,1.7285714285714286
p12,female,LOW_ATTRACTIVENESS,1.5857142857142859
p12,male,HIGH_ATTRACTIVENESS,1.8253968253968254
p12,male,LOW_ATTRACTIVENESS,1.878121878121878
p13,female,HIGH_ATTRACTIVENESS,2.157142857142857
p13,female,LOW_ATTRACTIVENESS,1.9714285714285715
p13,male,HIGH_ATTRACTIVENESS,2.3015873015873014
p13,male,LOW_ATTRACTIVENESS,2.2057942057942057
p14,female,HIGH_ATTRACTIVENESS,2.7
p14,female,LOW_ATTRACTIVENESS,2.842857142857143
p14,male,HIGH_ATTRACTIVENESS,2.507936507936508
p14,male,LOW_ATTRACTIVENESS,2.8581418581418583
p15,female,HIGH_ATTRACTIVENESS,1.9142857142857144
p15,female,LOW_ATTRACTIVENESS,2.3857142857142857
p15,male,HIGH_ATTRACTIVENESS,2.111111111111111
p15,male,LOW_ATTRACTIVENESS,2.041958041958042
p16,female,HIGH_ATTRACTIVENESS,2.142857142857143
p16,female,LOW_ATTRACTIVENESS,1.9
p16,male,HIGH_ATTRACTIVENESS,2.8095238095238093
p16,male,LOW_ATTRACTIVENESS,2.3206793206793206
p17,female,HIGH_ATTRACTIVENESS,3.1285714285714286
p17,female,LOW_ATTRACTIVENESS,2.4
p17,male,HIGH_ATTRACTIVENESS,3.301587301587302
p17,male,LOW_ATTRACTIVENESS,2.9160839160839163
p18,female,HIGH_ATTRACTIVENESS,2.9857142857142858
p18,female,LOW_ATTRACTIVENESS,2.3857142857142857
p18,male,HIGH_ATTRACTIVENESS,2.888888888888889
p18,male,LOW_ATTRACTIVENESS,2.5564435564435564
p19,female,HIGH_ATTRACTIVENESS,2.857142857142857
p19,female,LOW_ATTRACTIVENESS,2.5428571428571427
p19,male,HIGH_ATTRACTIVENESS,2.9047619047619047
p19,male,LOW_ATTRACTIVENESS,3.5744255744255744
p20,female,HIGH_ATTRACTIVENESS,3.5
p20,female,LOW_ATTRACTIVENESS,3.185714285714286
p20,male,HIGH_ATTRACTIVENESS,3.2698412698412698
p20,male,LOW_ATTRACTIVENESS,3.5424575424575426
p21,female,HIGH_ATTRACTIVENESS,1.9857142857142858
p21,female,LOW_ATTRACTIVENESS,2.1714285714285713
p21,male,HIGH_ATTRACTIVENESS,2.6666666666666665
p21,male,LOW_ATTRACTIVENESS,2.050949050949051
p22,female,HIGH_ATTRACTIVENESS,2.8857142857142857
p22,female,LOW_ATTRACTIVENESS,2.8714285714285714
p22,male,HIGH_ATTRACTIVENESS,2.857142857142857
p22,male,LOW_ATTRACTIVENESS,2.961038961038961
p23,female,HIGH_ATTRACTIVENESS,2.9285714285714284
p23,female,LOW_ATTRACTIVENESS,3.0285714285714285
p23,male,HIGH_ATTRACTIVENESS,3.0952380952380953
p23,male,LOW_ATTRACTIVENESS,3.2567432567432566
p24,female,HIGH_ATTRACTIVENESS,1.7
p24,female,LOW_ATTRACTIVENESS,1.6285714285714286
p24,male,HIGH_ATTRACTIVENESS,2.6507936507936507
p24,male,LOW_ATTRACTIVENESS,1.982017982017982
p25,female,HIGH_ATTRACTIVENESS,2.342857142857143
p25,female,LOW_ATTRACTIVENESS,2.2857142857142856
