participant,gender,attractiveness,morality
p01,female,HIGH_ATTRACTIVENESS,417
p01,female,HIGH_ATTRACTIVENESS,417
p01,female,HIGH_ATTRACTIVENESS,417
p01,female,HIGH_ATTRACTIVENESS,417
p01,female,HIGH_ATTRACTIVENESS,417
p01,female,HIGH_ATTRACTIVENESS,417
p01,female,HIGH_ATTRACTIVENESS,417
p01,female,HIGH_ATTRACTIVENESS,417
p01,female,HIGH_ATTRACTIVENESS,417
p01,female,HIGH_ATTRACTIVENESS,417
p01,female,LOW_ATTRACTIVENESS,417
p01,female,LOW_ATTRACTIVENESS,417
p01,female,HIGH_ATTRACTIVENESS,417
p01,female,LOW_ATTRACTIVENESS,417
p01,female,HIGH_ATTRACTIVENESS,417
p01,female,HIGH_ATTRACTIVENESS,417
p01,female,LOW_ATTRACTIVENESS,417
p01,female,HIGH_ATTRACTIVENESS,417
p01,female,HIGH_ATTRACTIVENESS,417
p01,female,HIGH_ATTRACTIVENESS,417
p01,male,HIGH_ATTRACTIVENESS,417
p01,male,HIGH_ATTRACTIVENESS,417
p01,male,HIGH_ATTRACTIVENESS,417
p01,male,HIGH_ATTRACTIVENESS,417
p01,male,HIGH_ATTRACTIVENESS,417
p01,male,HIGH_ATTRACTIVENESS,417
p01,male,LOW_ATTRACTIVENESS,417
p01,male,HIGH_ATTRACTIVENESS,417
p01,male,HIGH_ATTRACTIVENESS,417
p01,male,HIGH_ATTRACTIVENESS,417
p01,male,LOW_ATTRACTIVENESS,417
p01,male,LOW_ATTRACTIVENESS,417
p01,male,LOW_ATTRACTIVENESS,417
p01,male,HIGH_ATTRACTIVENESS,417
p01,male,HIGH_ATTRACTIVENESS,417
p01,male,LOW_ATTRACTIVENESS,417
p01,male,LOW_ATTRACTIVENESS,417
p01,male,LOW_ATTRACTIVENESS,417
p01,male,HIGH_ATTRACTIVENESS,417
p01,male,LOW_ATTRACTIVENESS,417
p02,female,HIGH_ATTRACTIVENESS,412
p02,female,HIGH_ATTRACTIVENESS,412
p02,female,HIGH_ATTRACTIVENESS,412
p02,female,HIGH_ATTRACTIVENESS,412
p02,female,HIGH_ATTRACTIVENESS,412
p02,female,HIGH_ATTRACTIVENESS,412
p02,female,HIGH_ATTRACTIVENESS,412
p02,female,HIGH_ATTRACTIVENESS,412
p02,female,HIGH_ATTRACTIVENESS,412
p02,female,HIGH_ATTRACTIVENESS,412
p02,female,LOW_ATTRACTIVENESS,412
p02,female,LOW_ATTRACTIVENESS,412
p02,female,LOW_ATTRACTIVENESS,412
p02,female,LOW_ATTRACTIVENESS,412
p02,female,LOW_ATTRACTIVENESS,412
p02,female,HIGH_ATTRACTIVENESS,412
p02,female,LOW_ATTRACTIVENESS,412
p02,female,HIGH_ATTRACTIVENESS,412
